analysis_id,analysis_label,analysis_family,unit_of_analysis,source_boundary,aggregation_rule,metric,metric_label,setting,setting_label,n_units,n_flagged,prevalence,prevalence_percent
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_removable_disruptor,Any removable-hardware indicator (R1–R3),conservative,Conservative,47522,10211,0.2148689028239552,21.48689028239552
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_removable_disruptor,Any removable-hardware indicator (R1–R3),default,Default,47522,12922,0.2719161651445646,27.191616514456463
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_removable_disruptor,Any removable-hardware indicator (R1–R3),expanded,Expanded,47522,20140,0.4238037119649846,42.38037119649846
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_retained_barrier,Any retained-barrier indicator (R4–R8),conservative,Conservative,47522,18943,0.3986153781406506,39.86153781406506
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_retained_barrier,Any retained-barrier indicator (R4–R8),default,Default,47522,21356,0.4493918606119271,44.93918606119271
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_retained_barrier,Any retained-barrier indicator (R4–R8),expanded,Expanded,47522,24968,0.5253987626783384,52.53987626783384
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_disruptor_overall,Any core disruptor indicator (R1–R8),conservative,Conservative,47522,23246,0.48916291401877027,48.916291401877025
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_disruptor_overall,Any core disruptor indicator (R1–R8),default,Default,47522,26182,0.55094482555448,55.094482555447996
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,any_disruptor_overall,Any core disruptor indicator (R1–R8),expanded,Expanded,47522,33053,0.6955304911409452,69.55304911409452
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,r1_metal_hardware,R1 Metal-specified/conventional hardware,conservative,Conservative,47522,2613,0.054985059551365685,5.498505955136569
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,r1_metal_hardware,R1 Metal-specified/conventional hardware,default,Default,47522,5902,0.12419510963343294,12.419510963343294
pooled_variant,Pooled variant-level prevalence,Primary prevalence analysis,Colour-specific garment variant,All four retailer–market portals pooled,Direct binary flag for each variant,r1_metal_hardware,R1 Metal-specified/conventional hardware,expanded,Expanded,47522,5938,0.124952653507849,12.4952653507849
